sample,assay,total_seconds,success_count,frame_count,prop_success
20190616_1441_icab_hni_L_q1,novel_object,600,17815,18000,0.9897222222222222
20190614_1208_icab_icab_L_q1,open_field,600,17817,18000,0.9898333333333333
20190616_1556_icab_hdr_L_q3,novel_object,600,17818,18000,0.9898888888888889
20190615_1210_icab_ho5_R_q3,open_field,600,17821,18000,0.9900555555555556
20190615_1051_icab_hdr_L_q3,novel_object,600,17830,18000,0.9905555555555555
20190616_1017_icab_kaga_R_q1,open_field,600,17832,18000,0.9906666666666667
20190613_1511_icab_hdr_L_q1,novel_object,600,17834,18000,0.9907777777777778
20190616_1622_icab_ho5_L_q2,open_field,600,17835,18000,0.9908333333333333
20190614_1404_icab_ho5_L_q2,novel_object,600,17836,18000,0.9908888888888889
20190614_1553_icab_hni_L_q4,novel_object,600,17839,18000,0.9910555555555556
20190615_1549_icab_hni_L_q1,novel_object,600,17839,18000,0.9910555555555556
20190615_1117_icab_kaga_L_q3,open_field,598.4,17792,17952,0.9910873440285205
20190615_1358_icab_icab_L_q2,novel_object,600,17840,18000,0.9911111111111112
20190614_1456_icab_ho5_R_q2,novel_object,600,17841,18000,0.9911666666666666
20190616_1351_icab_ho5_L_q1,novel_object,600,17843,18000,0.9912777777777778
20190612_1355_icab_ho5_R_q2,open_field,600,17844,18000,0.9913333333333333
20190614_1208_icab_icab_L_q2,open_field,600,17846,18000,0.9914444444444445
20190614_1335_icab_ho5_L_q3,novel_object,600,17847,18000,0.9915
20190616_1651_icab_icab_L_q2,novel_object,600,17847,18000,0.9915
20190613_1617_icab_ho5_L_q3,novel_object,600,17848,18000,0.9915555555555555
20190615_1423_icab_icab_L_q3,novel_object,600,17851,18000,0.9917222222222222
20190615_1145_icab_hni_R_q2,novel_object,600,17854,18000,0.9918888888888889
20190615_1236_icab_hdr_R_q4,novel_object,600,17854,18000,0.9918888888888889
20190616_1227_icab_kaga_R_q1,novel_object,600,17856,18000,0.992
20190613_1420_icab_hni_R_q3,open_field,600,17858,18000,0.9921111111111112
20190616_1210_icab_icab_R_q4,open_field,600,17861,18000,0.9922777777777778
20190612_1501_icab_icab_R_q4,open_field,600,17865,18000,0.9925
20190616_1325_icab_hni_R_q4,open_field,600,17865,18000,0.9925
20190614_1524_icab_icab_R_q1,open_field,600,17866,18000,0.9925555555555555
20190615_1117_icab_kaga_L_q2,open_field,598.4,17819,17952,0.9925913547237076
20190615_1549_icab_hni_L_q4,open_field,600,17870,18000,0.9927777777777778
20190613_1546_icab_hni_R_q2,novel_object,600,17872,18000,0.9928888888888889
20190613_1420_icab_hni_R_q3,novel_object,600,17874,18000,0.993
20190616_1256_icab_kaga_L_q2,open_field,600,17875,18000,0.9930555555555556
20190614_1553_icab_hni_L_q2,open_field,600,17876,18000,0.9931111111111111
20190615_1022_icab_ho5_L_q3,novel_object,600,17878,18000,0.9932222222222222
20190615_1145_icab_hni_R_q3,open_field,600,17882,18000,0.9934444444444445
20190616_1045_icab_icab_L_q2,novel_object,600,17885,18000,0.9936111111111111
20190613_1617_icab_ho5_L_q3,open_field,600,17886,18000,0.9936666666666667
20190616_1135_icab_kaga_R_q1,open_field,600,17888,18000,0.9937777777777778
20190616_1210_icab_icab_R_q3,open_field,600,17889,18000,0.9938333333333333
20190613_1546_icab_hni_R_q2,open_field,600,17892,18000,0.994
20190613_1648_icab_ho5_R_q4,novel_object,600,17894,18000,0.9941111111111111
20190614_1644_icab_hni_L_q4,open_field,600,17894,18000,0.9941111111111111
20190613_0953_icab_hni_R_q1,novel_object,600,17895,18000,0.9941666666666666
20190614_1208_icab_icab_L_q4,open_field,600,17895,18000,0.9941666666666666
20190614_1644_icab_hni_L_q2,novel_object,600,17895,18000,0.9941666666666666
20190612_1236_icab_kaga_R_q1,novel_object,600,17896,18000,0.9942222222222222
20190612_1236_icab_kaga_R_q3,open_field,600,17897,18000,0.9942777777777778
20190614_1208_icab_icab_L_q3,novel_object,600,17897,18000,0.9942777777777778
20190611_1552_icab_hni_R_q2,novel_object,600,17898,18000,0.9943333333333333
20190614_1524_icab_icab_R_q4,novel_object,600,17899,18000,0.9943888888888889
