assay,sample,quadrant,wid,hei,n_frames
open_field,20190612_1636_icab_icab_R,q2,364,358,18000
open_field,20190612_1636_icab_icab_R,q3,364,346,18000
open_field,20190612_1636_icab_icab_R,q4,342,346,18000
open_field,20190612_1707_icab_hni_R,q1,344,352,18000
open_field,20190612_1707_icab_hni_R,q2,362,352,18000
open_field,20190612_1707_icab_hni_R,q3,362,352,18000
open_field,20190612_1707_icab_hni_R,q4,344,352,18000
open_field,20190613_0953_icab_hni_R,q1,344,350,18000
open_field,20190613_0953_icab_hni_R,q2,362,350,18000
open_field,20190613_0953_icab_hni_R,q3,362,354,18000
open_field,20190613_0953_icab_hni_R,q4,344,354,18000
open_field,20190613_1024_icab_hni_R,q1,346,362,18000
open_field,20190613_1024_icab_hni_R,q2,360,362,18000
open_field,20190613_1024_icab_hni_R,q3,360,342,18000
open_field,20190613_1024_icab_hni_R,q4,346,342,18000
open_field,20190613_1054_icab_hdr_R,q1,344,354,18000
open_field,20190613_1054_icab_hdr_R,q2,362,354,18000
open_field,20190613_1054_icab_hdr_R,q3,362,350,18000
open_field,20190613_1054_icab_hdr_R,q4,344,350,18000
open_field,20190613_1126_icab_hdr_R,q1,352,348,18000
open_field,20190613_1126_icab_hdr_R,q2,354,348,18000
open_field,20190613_1126_icab_hdr_R,q3,354,356,18000
open_field,20190613_1126_icab_hdr_R,q4,352,356,18000
open_field,20190613_1307_icab_hdr_R,q1,342,352,18000
open_field,20190613_1307_icab_hdr_R,q2,364,352,18000
open_field,20190613_1307_icab_hdr_R,q3,364,352,18000
open_field,20190613_1307_icab_hdr_R,q4,342,352,18000
open_field,20190613_1338_icab_ho5_R,q1,342,356,18000
open_field,20190613_1338_icab_ho5_R,q2,364,356,18000
open_field,20190613_1338_icab_ho5_R,q3,364,348,18000
open_field,20190613_1338_icab_ho5_R,q4,342,348,18000
open_field,20190613_1420_icab_hni_R,q1,342,352,18000
open_field,20190613_1420_icab_hni_R,q2,364,352,18000
open_field,20190613_1420_icab_hni_R,q3,364,352,18000
open_field,20190613_1420_icab_hni_R,q4,342,352,18000
open_field,20190613_1511_icab_hdr_L,q1,358,352,18000
